power,T,MOMF,DIRECTION32,WS30,WS31,WS32,WS10,WS10S,DIRECTION30,DIRECTION31,DIR10,DIR10S,MSLP,CLC,SENF,LATF,SWR,LWR,PS,PRT,PRL,PRC,T2M,RH2M
23.13,280.92,0.2,127.1,9.18,7.69,5.96,3.6,6.16,134.48,130.93,132.71,132.75,1026.17,99.78,-41.32,18.49,0.99,-36.07,1022.34,0.01,0.01,0,280.83,79.33
22.8,280.94,0.2,126.74,9.13,7.65,5.92,3.55,6.11,134.44,130.72,132.3,132.34,1026.19,99.67,-40.16,18.22,1,-35.72,1022.36,0.01,0.01,0,280.85,79.76
31.47,280.96,0.19,126.39,9.08,7.61,5.89,3.51,6.05,134.42,130.5,131.89,131.93,1026.21,99.56,-39.01,17.96,1.01,-35.37,1022.39,0.01,0.01,0,280.86,80.2
37.4,280.98,0.19,126.24,9.07,7.59,5.87,3.49,6.02,134.45,130.4,131.66,131.69,1026.23,99.52,-38.13,17.93,1.01,-35.09,1022.42,0.01,0.01,0,280.88,80.63
45.2,281,0.19,126.29,9.08,7.6,5.87,3.49,6.02,134.55,130.42,131.6,131.62,1026.24,99.53,-37.54,18.13,1.01,-34.91,1022.46,0.01,0.01,0,280.9,81.04
50.75,281.02,0.19,126.35,9.1,7.6,5.88,3.49,6.02,134.65,130.44,131.54,131.55,1026.26,99.55,-36.95,18.33,1.01,-34.72,1022.49,0.01,0.01,0,280.92,81.45
48.33,281.04,0.19,126.4,9.11,7.61,5.88,3.49,6.02,134.75,130.46,131.48,131.48,1026.27,99.56,-36.36,18.53,1.01,-34.52,1022.53,0.01,0.01,0,280.94,81.86
42.57,281.06,0.19,126.7,9.15,7.63,5.89,3.5,6.03,135.05,130.72,131.71,131.7,1026.27,99.55,-35.86,18.67,1.01,-34.16,1022.54,0.01,0.01,0,280.96,82.27
40.67,281.08,0.19,127.23,9.2,7.66,5.9,3.51,6.05,135.56,131.23,132.23,132.21,1026.25,99.5,-35.45,18.76,1,-33.61,1022.51,0.01,0.01,0,280.98,82.67
47.27,281.11,0.2,127.76,9.26,7.7,5.91,3.53,6.06,136.06,131.73,132.74,132.73,1026.22,99.44,-35.05,18.85,1,-33.07,1022.48,0.01,0.01,0,281.01,83.07
51.53,281.13,0.2,128.29,9.31,7.73,5.92,3.54,6.08,136.57,132.24,133.26,133.24,1026.2,99.4,-34.64,18.94,0.99,-32.52,1022.45,0.01,0.01,0,281.03,83.47
63.2,281.16,0.2,129.08,9.39,7.79,5.95,3.57,6.11,137.28,132.99,133.93,133.91,1026.23,99.23,-34.31,19.2,2.23,-32.28,1022.49,0.01,0.01,0,281.06,83.83
53.67,281.19,0.2,130.12,9.48,7.85,5.99,3.6,6.15,138.2,134,134.76,134.73,1026.31,98.96,-34.05,19.64,4.72,-32.35,1022.58,0.01,0.01,0,281.09,84.14
47.27,281.23,0.21,131.15,9.57,7.92,6.04,3.63,6.2,139.11,135,135.58,135.54,1026.38,98.69,-33.8,20.08,7.21,-32.42,1022.67,0.01,0.01,0,281.12,84.46
53.13,281.26,0.21,132.19,9.66,7.99,6.08,3.66,6.24,140.03,136.01,136.41,136.36,1026.46,98.42,-33.54,20.52,9.7,-32.49,1022.76,0.01,0.01,0,281.15,84.77
49.6,281.31,0.22,133.09,9.79,8.1,6.16,3.74,6.32,140.81,136.87,137.12,137.08,1026.5,98.19,-33.91,20.32,20.41,-32.9,1022.81,0.01,0.01,0,281.2,84.94
45.8,281.37,0.23,133.86,9.95,8.24,6.28,3.85,6.44,141.44,137.59,137.72,137.71,1026.51,98.02,-34.92,19.48,39.34,-33.66,1022.81,0.01,0.01,0,281.29,84.97
43.8,281.42,0.25,134.62,10.1,8.38,6.39,3.96,6.55,142.07,138.31,138.33,138.33,1026.51,97.84,-35.93,18.63,58.26,-34.42,1022.81,0.01,0,0,281.38,85
45,281.48,0.26,135.39,10.26,8.52,6.51,4.07,6.67,142.7,139.03,138.93,138.96,1026.52,97.67,-36.94,17.79,77.19,-35.18,1022.81,0.01,0,0,281.47,85.03
49.6,281.58,0.28,136.42,10.36,8.63,6.62,4.19,6.78,143.47,139.95,139.76,139.8,1026.49,97.32,-38.88,14.86,98.06,-36.09,1022.77,0.01,0,0,281.6,84.81
55.4,281.74,0.3,137.71,10.39,8.72,6.73,4.33,6.87,144.36,141.06,140.83,140.85,1026.42,96.79,-41.76,9.84,120.87,-37.14,1022.68,0.01,0,0,281.79,84.34
57.33,281.88,0.33,139.01,10.42,8.81,6.84,4.46,6.96,145.25,142.17,141.89,141.9,1026.36,96.27,-44.64,4.81,143.69,-38.2,1022.6,0.01,0,0,281.97,83.87
58.67,282.03,0.35,140.3,10.45,8.9,6.95,4.6,7.05,146.14,143.28,142.96,142.95,1026.29,95.74,-47.52,-0.21,166.5,-39.25,1022.51,0.01,0,0,282.16,83.4
53.33,282.2,0.37,141.62,10.49,8.99,7.07,4.73,7.15,147.07,144.4,144.01,144,1026.2,95.47,-51.15,-6.29,191.3,-40.4,1022.41,0.01,0,0,282.37,82.82
61,282.39,0.4,142.97,10.53,9.1,7.22,4.85,7.24,148.04,145.53,145.06,145.06,1026.07,95.44,-55.54,-13.42,218.08,-41.62,1022.29,0.01,0,0,282.6,82.15
63.07,282.58,0.42,144.32,10.56,9.21,7.37,4.98,7.33,149.01,146.66,146.11,146.11,1025.94,95.41,-59.93,-20.55,244.85,-42.86,1022.16,0.01,0.01,0,282.83,81.48
59.33,282.77,0.45,145.67,10.6,9.32,7.52,5.1,7.42,149.98,147.79,147.16,147.16,1025.81,95.38,-64.32,-27.68,271.63,-44.09,1022.04,0.01,0.01,0,283.06,80.81
58.07,282.95,0.47,146.95,10.62,9.4,7.65,5.22,7.51,150.93,148.88,148.24,148.24,1025.67,95.41,-68.99,-35.19,296.22,-45.19,1021.91,0.01,0.01,0,283.29,80.17
57.73,283.15,0.49,148.18,10.63,9.46,7.78,5.33,7.58,151.88,149.95,149.37,149.35,1025.51,95.52,-73.95,-43.05,318.62,-46.17,1021.76,0.01,0.01,0,283.52,79.56
64.93,283.33,0.52,149.41,10.63,9.51,7.91,5.45,7.65,152.83,151.02,150.49,150.47,1025.34,95.63,-78.92,-50.92,341.03,-47.16,1021.62,0.01,0.01,0,283.74,78.96
76.2,283.53,0.54,150.64,10.64,9.57,8.04,5.56,7.72,153.78,152.09,151.62,151.58,1025.18,95.74,-83.88,-58.79,363.43,-48.14,1021.47,0.01,0.01,0,283.97,78.35
76.4,283.71,0.55,151.77,10.6,9.59,8.12,5.65,7.75,154.65,153.1,152.68,152.64,1025.05,95.83,-87.76,-64.92,378.37,-48.8,1021.35,0.01,0.01,0,284.17,77.84
77.6,283.89,0.56,152.8,10.5,9.55,8.16,5.7,7.73,155.46,154.04,153.68,153.65,1024.96,95.91,-90.56,-69.29,385.86,-49.13,1021.25,0.01,0.01,0,284.36,77.41
71.8,284.06,0.57,153.83,10.41,9.53,8.21,5.75,7.7,156.27,154.99,154.68,154.65,1024.86,95.99,-93.37,-73.67,393.35,-49.46,1021.16,0.01,0.01,0,284.55,76.98
73.27,284.24,0.58,154.86,10.32,9.49,8.25,5.79,7.68,157.08,155.93,155.68,155.66,1024.77,96.07,-96.17,-78.04,400.84,-49.79,1021.06,0.01,0.01,0,284.74,76.55
82.2,284.4,0.58,155.72,10.21,9.44,8.25,5.82,7.63,157.8,156.73,156.54,156.52,1024.69,96.2,-97.71,-80.46,403,-49.99,1020.98,0.01,0.01,0,284.9,76.23
83.07,284.55,0.58,156.4,10.09,9.35,8.21,5.82,7.55,158.44,157.38,157.27,157.24,1024.63,96.38,-97.99,-80.92,399.84,-50.06,1020.92,0.01,0.01,0,285.03,76
80.47,284.69,0.57,157.08,9.95,9.25,8.17,5.82,7.48,159.07,158.03,158,157.97,1024.58,96.57,-98.26,-81.39,396.69,-50.12,1020.85,0.02,0.02,0,285.17,75.77
82.8,284.84,0.57,157.76,9.82,9.16,8.13,5.82,7.4,159.71,158.68,158.73,158.69,1024.52,96.75,-98.54,-81.85,393.53,-50.19,1020.79,0.02,0.02,0,285.3,75.54
79,284.96,0.56,158.18,9.7,9.06,8.05,5.79,7.3,160.16,159.12,159.25,159.22,1024.46,96.95,-97.61,-80.67,384.21,-49.96,1020.73,0.02,0.02,0,285.41,75.46
76.13,285.05,0.55,158.35,9.57,8.94,7.94,5.73,7.18,160.41,159.33,159.57,159.55,1024.41,97.19,-95.47,-77.85,368.74,-49.43,1020.67,0.03,0.03,0,285.48,75.52
