power,T,MOMF,DIRECTION32,WS30,WS31,WS32,WS10,WS10S,DIRECTION30,DIRECTION31,DIR10,DIR10S,MSLP,CLC,SENF,LATF,SWR,LWR,PS,PRT,PRL,PRC,T2M,RH2M
4,290.46,0.12,293.6,7.05,5.91,4.7,3.3,3.65,297.82,297.39,291.58,291.77,1013.35,8.55,-16.45,31.88,1.81,-97.01,863,0,0,0,289.59,40.25
5,290.19,0.1,295.35,6.97,5.77,4.54,3.1,3.45,300.17,299.63,292.79,293,1013.47,8.5,-13.11,30.95,0.88,-94.84,863.07,0,0,0,289.11,41.67
4,289.9,0.09,297.8,6.93,5.68,4.45,2.96,3.31,302.99,302.42,294.54,294.79,1013.49,7.93,-11.32,29.19,0.89,-92.92,863.15,0,0,0,288.62,43.19
5,289.61,0.08,300.25,6.88,5.59,4.36,2.83,3.16,305.82,305.21,296.3,296.58,1013.52,7.36,-9.53,27.43,0.89,-91,863.22,0,0,0,288.13,44.7
6,289.32,0.07,302.7,6.84,5.5,4.27,2.69,3.02,308.64,308,298.05,298.37,1013.54,6.79,-7.74,25.67,0.9,-89.08,863.3,0,0,0,287.64,46.22
10,289.05,0.06,305.61,6.82,5.46,4.24,2.61,2.94,312.03,311.31,300.32,300.66,1013.63,6.36,-6.63,24.63,0.9,-87.74,863.37,0,0,0,287.23,47.53
13,288.78,0.06,308.98,6.81,5.47,4.25,2.58,2.91,316,315.13,303.11,303.45,1013.79,6.05,-6.23,24.31,0.9,-86.98,863.44,0,0,0,286.9,48.64
20,288.5,0.06,312.35,6.81,5.48,4.27,2.56,2.89,319.96,318.96,305.89,306.23,1013.96,5.75,-5.81,24,0.91,-86.23,863.5,0,0,0,286.57,49.76
26,288.24,0.06,315.72,6.8,5.49,4.28,2.53,2.86,323.93,322.79,308.68,309.02,1014.12,5.44,-5.4,23.68,0.91,-85.47,863.57,0,0,0,286.24,50.87
29,287.94,0.06,319.29,6.86,5.55,4.33,2.52,2.85,328.01,326.67,312.12,312.44,1014.29,5.09,-5.12,23.63,0.91,-84.82,863.64,0,0,0,285.91,51.97
31,287.63,0.06,323.08,6.98,5.68,4.42,2.53,2.87,332.2,330.61,316.22,316.49,1014.47,4.69,-4.95,23.85,0.91,-84.27,863.71,0,0,0,285.6,53.07
